Year	Month	preci	Tmin	Tmax	Tavg	PET
2013	10	13.2	11.68	30.63	21.155	76.2578511
2013	11	22	2.27	23.23	12.75	20.1680522
2013	12	0	2	15.33	8.665	7.8880939
2014	1	0	1.52	17.05	9.285	9.4871891
2014	2	18	2.29	17.55	9.92	10.717027
2014	3	31.2	8.61	22.55	15.58	37.9876744
2014	4	35	14.97	25.24	20.105	73.5659653
2014	5	73	18.61	32.55	25.58	144.4121814
2014	6	23	24.07	39.05	31.56	239.4347023
2014	7	169.2	20.29	28.26	24.275	129.7368263
2014	8	107	18.13	31.02	24.575	127.2557496
2014	9	44.2	21.03	29.22	25.125	120.912505
2014	10	0	12.26	26.2	19.23	60.5517096
2014	11	0	9.8	24.77	17.285	42.0856015
2014	12	0	2.03	16.52	9.275	9.2980592
2015	1	11	3.03	10.88	6.955	4.71848
2015	2	7.1	6.93	20.75	13.84	23.97045
2015	3	46	9.13	22.63	15.88	39.7800553
2015	4	25	16.4	27.07	21.735	88.8211302
2015	5	24.3	13.03	27.89	20.46	84.1660966
2015	6	63.4	22.27	36.05	29.16	197.766993
2015	7	128	19.23	24.83	22.03	102.6092279
2015	8	35	19.06	35	27.03	160.1914077
2015	9	7	12.57	33.58	23.075	98.4276119
2015	10	16	30.71	16.15	23.43	97.6145565
2015	11	1	9.03	15.71	12.37	18.7456001
2015	12	0	3.77	19.05	11.41	15.3419916
2016	1	1	4.52	20.03	12.275	18.6299238
2016	2	0	6.66	22.17	14.415	26.4490889
2016	3	51	11.97	24.24	18.105	54.6168129
2016	4	41.5	17.27	29.77	23.52	107.4919674
2016	5	16	23.68	37.42	30.55	221.8217526
2016	6	50.2	25.47	38.28	31.875	245.2524915
2016	7	110.1	24.35	36.4	30.375	223.0515826
2016	8	168.6	21.87	33.5	27.685	169.7366237
2016	9	11.1	21.13	34.35	27.74	153.6089168
2016	10	0	17	31.77	24.385	107.5117746
2016	11	0	11.5	26.57	19.035	53.1347793
2016	12	0	7.32	24.52	15.92	34.3212723
2017	1	35	3.35	16.05	9.7	10.5448845
2017	2	7.01	6.82	19.93	13.375	22.069768
2017	3	6.01	11.52	25.18	18.35	56.4205725
2017	4	4	19.47	33.47	26.47	143.0290102
2017	5	8.01	22.81	37.16	29.985	212.0345439
2017	6	128	23.9	37.05	30.475	220.0190303
2017	7	85	23.26	34.68	28.97	198.9237364
2017	8	60	22.61	35.45	29.03	190.3610891
2017	9	25.01	20.13	33.3	26.715	140.2459536
2017	10	0	17	32.52	24.76	111.5520777
2017	11	8	9.4	24.1	16.75	39.0055335
2017	12	3.01	4.42	19.65	12.035	17.452904
2018	1	0	4.94	20	12.47	19.3534075
2018	2	16	7.32	20.93	14.125	25.1811227
2018	3	13	12.97	27.48	20.225	71.3797022
2018	4	9.02	14	31	22.5	96.5675511
2018	5	25	17	33	25	136.6237334
2018	6	36.01	18	34	26	149.8778932
2018	7	103	19	35	27	167.7852856
2018	8	18.01	24.42	34	29.21	193.2268603
2018	9	52.01	21	32	26.5	137.5331111
2018	10	0	16.42	29.73	23.075	94.0776432
2018	11	0	11.2	24.83	18.015	46.511485
2018	12	0	5.39	19.29	12.34	18.5413599
2019	1	25.01	4.9	16.06	10.48	12.7127099
2019	2	27.03	5.71	16.16	10.935	13.5626227
2019	3	20	11	24	17.5	50.3090036
2019	4	13.1	17.53	29.68	23.605	108.4334258
2019	5	34.01	20.23	33.27	26.75	160.8999133
2019	6	23	24.5	36.57	30.535	221.06762
2019	7	15	24.48	36.21	30.345	222.5194274
2019	8	86.01	23.81	33.69	28.75	185.9530376
2019	9	9.01	23.37	35.23	29.3	175.3292981
2019	10	20	16	29.02	22.51	88.6055988
2019	11	27.01	10.57	20.63	15.6	32.8439242
2019	12	11	4.35	18.33	11.34	15.1154565
2020	1	33.02	3.06	13.41	8.235	7.0982538
2020	2	22	9.24	20.53	14.885	28.5820885
2020	3	169.02	9.84	20.34	15.09	35.1637173
2020	4	35.01	16.1	28.93	22.515	96.723247
2020	5	48.01	20.16	34.52	27.34	169.6130027
2020	6	53.01	23.03	36.5	29.765	207.8319235
2020	7	56	24.29	36.55	30.42	223.8512133
2020	8	130.02	23.9	34.27	29.085	191.2340782
2020	9	2	21.17	33.7	27.435	149.5580307
2020	10	0	15.55	30.42	22.985	93.1931023
2020	11	0.03	9.6	23.3	16.45	37.3381663
2020	12	2	6.03	19.21	12.62	19.574754
2021	1	0	4.1	19.21	11.655	16.4361213
2021	2	0	9.21	24.05	16.63	37.3655556
2021	3	44.02	13.74	27.74	20.74	75.8529157
2021	4	25	17.57	30.47	24.02	113.0992654
2021	5	58.02	20.32	34.37	27.345	169.6879954
2021	6	101	23.03	36.35	29.69	206.5682821
2021	7	58.02	24	36.27	30.135	218.815187
2021	8	0	24.1	36.23	30.165	208.8534169
2021	9	52.6	22.2	33.63	27.915	155.9619013
2021	10	0	16.65	30.84	23.745	100.8172155
2021	11	0	11.43	25.37	18.4	48.9507891
2021	12	0.6	4.97	19.21	12.09	17.6463329
2022	1	21.01	3.87	16.11	9.99	11.3231766
2022	2	3	6.96	21.41	14.185	25.4404667
2022	3	30.01	14.97	29.38	22.175	89.1675604
2022	4	0.01	20.7	35.07	27.885	162.2167503
2022	5	4.01	24.1	38.18	31.14	232.3195015
2022	6	118	23.27	37.37	30.32	217.3236919
2022	7	141	23.06	11.07	17.065	55.3461037
2022	8	312.01	21.87	30.35	26.11	147.3278638
2022	9	18	20.33	33.37	26.85	141.9652652
2022	10	0	15.45	30.76	23.105	94.3735794
2022	11	0	12	25.1	18.55	49.9210081
2022	12	1	6.39	22	14.195	26.0113488
2023	1	3.01	2.65	16.08	9.365	9.6859928
2023	2	0	9.18	24.48	16.83	38.4611078
2023	3	131	12.42	23.85	18.135	54.8358365
2023	4	41.01	14.73	27.8	21.265	84.2491919
2023	5	96	19.32	32.82	26.07	151.190199
2023	6	136.02	21.83	34.95	28.39	185.3785758
2023	7	171.02	22.81	33.76	28.285	187.7436174
2023	8	27.01	23.03	35.79	29.41	196.4405372
2023	9	2	21.67	34.72	28.195	159.7703789
2023	10	26.01	15.32	30.45	22.885	92.21602
2023	11	36	11.1	24.8	17.95	46.1068531
2023	12	0	6.29	21.82	14.055	25.3955401
2024	1	2	3	19.66	11.33	15.3500242
2024	2	5.02	4.97	19.41	12.19	17.6361667
2024	3	42	10.48	23.48	16.98	46.771155
2024	4	52.01	15.5	28.03	21.765	89.1177736
2024	5	3	22.29	36.71	29.5	203.8389391
2024	6	35.03	24	38.07	31.035	229.9198191
2024	7	149.01	25.1	36.65	30.875	232.0308178
2024	8	143	22.55	32.23	27.39	165.3975382
2024	9	32	23	33.95	28.475	163.6328403
2024	10	3	18.68	32.18	25.43	118.9893516
2024	11	17	13.17	26.95	20.06	60.3171001
2024	12	9	5.42	18.31	11.865	16.8629175
